1,'Em,
2,'Gainst,prep.
3,'Mongst,prep.
4,'Neath,prep. & adv.
5,'s,
6,'Sblood,interj.
7,'Sdeath,interj.
8,'Snails,interj.
9,'Swounds,interj.
10,'T is,
11,'T was,
12,'Twixt,
13,'Twixt-brain,n.
14,-able,
15,-ably,
16,-ana,
17,-ance,
18,-ances,pl. 
19,-ancies,pl. 
20,-ancy,
21,-ant,
22,-arch,a.
23,-ard,
24,-art,
25,-ate,
26,-ation,
27,-barrelled,a.
28,-blast,
29,-cae,pl. 
30,-ces,pl. 
31,-cies,pl. 
32,-derm,n.
33,-dom,
34,-ed,
35,-ee,
36,-en,
37,-ence,
38,-ency,
39,-ent,
40,-er,
41,-escent,
42,-esprits,pl. 
43,-esque,
44,-ess,
45,-est,
46,-et,
47,-ferous,
48,-fish,pl. 
49,-fishes,pl. 
50,-ful,a.
51,-fy,
52,-gen,
53,-genous,
54,-gerous,
55,-gies,pl. 
56,-goes,pl. 
57,-gos,pl. 
58,-gram,
59,-graphy,
60,-grave,
61,-head,suffix.
62,-hood,
63,-ias,pl. 
64,-ible,
65,-ic,
66,-ical,a.
67,-ics,
68,-ide,
69,-ies,pl. 
70,-in,
71,-ine,
72,-ing,
73,-ion,
74,-ise,
75,-ish,
76,-ism,
77,-ist,
78,-ite,
79,-itis,
80,-ive,
81,-ize,
82,-knives,pl. 
83,-la,pl. 
84,-lae,pl. 
85,-las,pl. 
86,-lea,pl. 
87,-less,
88,-let,
89,-ling,
90,-lite,
91,-lith,
92,-logy,
93,-ly,a.
94,-mancy,
95,-men,pl. 
96,-ment,
97,-mere,
98,-meter,
99,-metry,
100,-mi,pl. 
101,-mo,
102,-morphous,
103,-nea,pl. 
104,-ness,
105,-neums,pl. 
106,-nies,pl. 
107,-ock,
108,-oid,
109,-ol,
110,-oma,
111,-one,
112,-ons,pl. 
113,-or,
114,-ory,
115,-ose,
116,-our,
117,-ous,
118,-plastic,
119,-plasty,
120,-pod,
121,-poda,
122,-prossed,imp. & p. p.
123,-prossing,p. pr. & vb. n.
124,-retted,a.
125,-ria,pl. 
126,-rias,pl. 
127,-ric,
128,-ries,pl. 
129,-s,
130,-scope,
131,-ses,pl. 
132,-ship,n.
133,-some,a.
134,-some,
135,-soria,pl. 
136,-sories,pl. 
137,-sporangia,pl. 
138,-staffs,pl. 
139,-staves,pl. 
140,-ster,
141,-strucken,
142,-ti,pl. 
143,-ties,pl. 
144,-tos,pl. 
145,-tre,n.
146,-trices,pl. 
147,-tries,pl. 
148,-trixes,pl. 
149,-tyla,pl. 
150,-type,n.
151,-ums,pl. 
152,-uret,
153,-vetted,
154,-vetting,
155,-ward,v. i.
156,-wards,v. i.
157,-wards,
158,-ways,
159,-women,pl. 
160,-yl,
161,A,prep.
162,A,
163,A-,
164,A-mornings,adv.
165,A-sea,adv.
166,A-tiptoe,adv.
167,A B C,
168,A cappella,
169,A fortiori,
170,A mensa et thoro,
171,A posteriori,
172,A priori,
173,Aam,n.
174,Aard-vark,n.
175,Aard-wolf,n.
176,Aaron's rod,
177,Aaronic,a.
178,Aaronical,a.
179,Ab,n.
180,Ab-,
181,Abaca,n.
182,Abaci,pl. 
183,Abacinate,v. t.
184,Abacination,n.
185,Abaciscus,n.
186,Abacist,n.
187,Aback,adv.
188,Aback,n.
189,Abactinal,a.
190,Abaction,n.
191,Abactor,n.
192,Abaculi,pl. 
193,Abaculus,n.
194,Abacus,n.
195,Abacuses,pl. 
196,Abada,n.
197,Abaddon,n.
198,Abaft,adv.
199,Abaft,prep.
200,Abaisance,n.
201,Abaiser,n.
202,Abaist,p. p.
203,Abalienate,v. t.
204,Abalienation,n.
205,Abalone,n.
206,Aband,v. t.
207,Abandon,n.
208,Abandon,v.
209,Abandon,v. t.
210,Abandoned,a.
211,Abandoned,imp. & p. p.
212,Abandonedly,adv.
213,Abandonee,n.
214,Abandoner,n.
215,Abandoning,p. pr. & vb. n.
216,Abandonment,n.
217,Abandum,n.
218,Abanet,n.
219,Abanga,n.
220,Abannation,n.
221,Abannition,n.
222,Abarticulation,n.
223,Abase,a.
224,Abased,a.
225,Abased,imp. & p. p.
226,Abasedly,adv.
227,Abasement,n.
228,Abaser,n.
229,Abash,v. t.
230,Abashed,imp. & p. p.
231,Abashedly,adv.
232,Abashing,p. pr. & vb. n.
233,Abashment,n.
234,Abasing,p. pr. & vb. n.
235,Abassi,n.
236,Abassis,n.
237,Abatable,a.
238,Abate,n.
239,Abate,v. t.
240,Abated,imp. & p. p.
241,Abatement,n.
242,Abater,n.
243,Abating,p. pr. & vb. n.
244,Abatis,n.
